noisy_input,clean_output
कलाई कीतवचा पर कब्ज होथ है।,कलाई की त्वचा पर कब्ज होती है।
दभभा लेेन क वाद भे छाले आते अै।,दवा लेने के बाद भी छाले आता है।
भेड़े दिमेक में फरैक्रछ रऔ कभडजोरीदोणों कम हो जाती है।,मेरे दिमाग में फ्रैक्चर और कमजोरी दोनों कम हो जाती है।
पेसाब ेमं नल होीथ अै।,पेशाब में जलन होती है।
पीरियड्स में बहोत दर्द होता है।,पीरियड्स में बहुत दर्द होता है।
ठोद़ी नेंद सूजन गै और मंिदन आान भ लगे हा।,ठोड़ी में सूजन है और नींद न आना भी लगती है।
परिवार भेंडपरेन की समचअसया रही है।,परिवार में डिप्रेशन की समस्या रही है।
राद को सोवते शम ाछटी में गळी बनी रगि है।,रात को सोते समय छाती में खुजली बनी रहती है।
पीढंी के आसास सद औ रक-रक कर सोजन होटी है।,पिंडली के आसपास दस्त और रुक-रुक कर सूजन होती है।
झुकणे परध होंठ में सुन्नपती कम हो जादा है।,झुकने पर होंठ में सुन्नपन कम हो जाता है।
षबह उमठते हिसिर मेश आटीतै।,सुबह उठते ही सिर में छाले आती है।
उँगलियंो मेंनझझनाअट अोते है।,उँगलियों में झनझनाहट होती है।
ठडमें एड़ी में रैश महसूस होता है।,ठंड में एड़ी में रैश महसूस होता है।
कंधे में डर्द अै।,कंधे में दर्द है।
धीरे-धीरे कर में बगभ होने लगती है।,धीरे-धीरे कमर में बलगम होने लगती है।
मुझे ्रथाइटिस है औल रडअम मैं सिरदर्द लघथा हैम।,मुझे आर्थराइटिस है और गर्दन में सिरदर्द लगता है।
आज़ नीह निकल रही।,आवाज़ नहीं निकल रही।
रत कोल सोते समय दाँत में ऐंथनकम हो जाता है।,रात को सोते समय दाँत में ऐंठन कम हो जाता है।
पीरीयड्स के दौरान थखानन रहती है।,पीरियड्स के दौरान थकान रहती है।
गमाार काटनेे ाड नकसिर बन रगथी है।,खाना खाने के बाद नकसीर बनी रहती है।
फिसल हा गया गै।,फिशर हो गया है।
मुह हिलाने परोव होता है।,मुँह हिलाने पर घाव होता है।
लंवे समय से सै टोड़ी मेलगातार घबराहठ महूससहोती है।,लंबे समय से से ठोड़ी में लगातार घबराहट महसूस होती है।
मुझे बार-बार मतली ैछी महसूस हतोी है।,मुझे बार-बार मतली जैसी महसूस होती है।
परिवरार में अरसरकी सजमास रही है।,परिवार में अल्सर की समस्या रही है।
घुटना के आसपास जुकाम औड़ असहीमय खून आम महसूस हतोी है।,घुटना के आसपास जुकाम और असहनीय खून आना महसूस होती है।
छाती में दाबवमहसूछ होता है।,छाती में दबाव महसूस होता है।
जीभ रसनफ पड़त है।,जीभ पर सफेद परत है।
गर्दन घुमाने में दिक्तक है।,गर्दन घुमाने में दिक्कत है।
भेरे होंठ मे एलर्जीऔर लन दोमों लगता है।,मेरे होंठ में एलर्जी और जलन दोनों लगता है।
बैठने के बाद कूल्हे मं झझनो कम हो जाीत है।,बैठने के बाद कूल्हा में झनझनाहट कम हो जाती है।
वअयायाम करने पर पसीना बनीआ रहती है।,व्यायाम करने पर पसीना बनी रहती है।
शाम सै पारल में अतयअधिक जकठ़नरहता है।,शाम से बाल में अत्यधिक जकड़न रहता है।
फट ुला ड़टाहै।,पेट फूला रहता है।
दस्त लग गए हां।,दस्त लग गए हैं।
डकॉ्टर न कगाठ िड्रेशन हैय।,डॉक्टर ने कहा डिप्रेशन है।
मेले बच में ंटट लगनघा औड़ ग्मी लगना नोों बढ़ जाते है।,मेरे त्वचा में ठंड लगना और गर्मी लगना दोनों बढ़ जाता है।
खाना ख़ाने के बेद दान हति ह।,खाना खाने के बाद दाने होती है।
णणा गलानेरप सूझ महूस हत है।,नथुना हिलाने पर सूजन महसूस होता है।
थंढ में पंजा ें मच आपता ैह।,ठंड में पंजा में मोच आता है।
नाक बनदआ रहती हा।,नाक बंद रहती है।
एड़ी केआसपास धकान औड़ कम गर्ी लगन कम ोह जाता है।,एड़ी के आसपास थकान और कम गर्मी लगना कम हो जाता है।
सरि मेरं रूसे हो गई है।,सिर में रूसी हो गई है।
गर्दन घुमाने में दिक्कत हे।,गर्दन घुमाने में दिक्कत है।
वजन अचानक बढ़ गईा है।,वजन अचानक बढ़ गया है।
कई दिनों से से पंजा मेम कम मोच भढ़ जाती है।,कई दिनों से से पंजा में कम मोच बढ़ जाती है।
मेले गाल में फयोड़ा और कासी दोनोलं कम ो जात हे।,मेरे गाल में फोड़ा और खांसी दोनों कम हो जाता है।
सुधबह उठते ही दल भें मोच शुरू अढोती अि।,सुबह उठते ही दिल में मोच शुरू होती है।
ींद में ख़लळ पडड़ रगी है।,नींद में खलल पड़ रही है।
खान में षूजन है और छाि ी बनी रहती है।,कान में सूजन है और छाले भी बनी रहती है।
उँगललियों मे षनझानहट होची है।,उँगलियों में झनझनाहट होती है।
खनी ें गुर्दा सेसिडिती रहती है।,गर्मी में गुर्दा से एसिडिटी रहती है।
घुनते भां पाननी भर गया ैअ।,घुटने में पानी भर गया है।
उगल कोथ छूना पड़ बेहद सूजन रहत है।,उँगली को छूने पर बेहद सूजन रहता है।
ुबह उठणतै ही जिकर मं रैश हमछूस होती ैह।,सुबह उठते ही जिगर में रैश महसूस होती है।
खर्मिउ में उएँगल से चपभम आती है।,गर्मी में उँगली से चुभन आती है।
पैरं में सूजषण आ गई अै।,पैरों में सूजन आ गई है।
मांसपशसेियोंय मं खिंजेव ह।,मांसपेशियों में खिंचाव है।
भौं की टव्चा पर कट लगता है।,भौं की त्वचा पर कट लगता है।
दिल को छूने पर कम छजुन आती है।,दिल को छूने पर कम सूजन आती है।
चरनेपल चत्व नें भ्लैक्चर लहता ै।,चलने पर त्वचा में फ्रैक्चर रहता है।
सली हिलोे पर तकान बढ़ जाता है।,पसली हिलाने पर थकान बढ़ जाता है।
बवासलकी सम्य ैह।,बवासीर की समस्या है।
पिछभलैद ह्ते सवे नखा ैं हल्का शींक मअसूस होताहै।,पिछले हफ्ते से टखना में हल्का छींक महसूस होता है।
मा़े बाळ में खुजरठी और सं्ड़थमण दोनंो आदि है।,मेरे बाल में खुजली और संक्रमण दोनों आती है।
डॉग्टर ने कहा असअथमा अै।,डॉक्टर ने कहा अस्थमा है।
पट फूला रहता है।,पेट फूला रहता है।
झखने पर पलक में नशीर लकतएाब है।,झुकने पर पलक में नकसीर लगता है।
कभर में दरद रहा े।,कमर में दर्द रहता है।
दवा लेन के वाद भबी कमोरी खम होजउाता है।,दवा लेने के बाद भी कमजोरी कम हो जाता है।
पेशाब में जलन होत ैह।,पेशाब में जलन होती है।
मेरे जीभ मेइं खांबी औरडर्ड दोणो होथी है।,मेरे जीभ में खांसी और दर्द दोनों होती है।
ठॉजटल नेहका अ्नजा े।,डॉक्टर ने कहा हर्निया है।
फशर गो खईा है।,फिशर हो गया है।
भयनाठाय करमि प खनीठलगना रहता है।,व्यायाम करने पर गर्मी लगना रहता है।
मँग में छाळे हो गए हैं।,मुँह में छाले हो गए हैं।
मुझे ढ्डी मेंसंक्लमण लगती है।,मुझे हड्डी में संक्रमण लगती है।
दस्तह लग कएहैं।,दस्त लग गए हैं।
मूह नेंछल हो गए हैं।,मुँह में छाले हो गए हैं।
नक ंद रहति ै।,नाक बंद रहती है।
क्ज़ की समसये है।,कब्ज़ की समस्या है।
संे ेने मतकलीफ हुती हि।,सांस लेने में तकलीफ होती है।
मुँग मैबं चले हो क हिं।,मुँह में छाले हो गए हैं।
भद लैने कि बाद भी गैस लगता है।,दवा लेने के बाद भी गैस लगता है।
सुह उते ी दिल में नींद ण आना आतची है।,सुबह उठते ही दिल में नींद न आना आती है।
एड़अी में धर्द अै।,एड़ी में दर्द है।
खाँसीस मं खून आऐते ै।,खाँसी में खून आता है।
नींद में खलल प़ रहि हे।,नींद में खलल पड़ रही है।
दाँत में र्द है।,दाँत में दर्द है।
परयिडसद खे दौरान कमा लहती है।,पीरियड्स के दौरान थकान रहती है।
गले में खरोष है।,गले में खराश है।
अउचानक से फेफड़े में रुक-रक कर दस्त लगता है।,अचानक से फेफड़े में रुक-रुक कर दस्त लगता है।
आँखों ेमं जलण औ लाल मा अै।,आँखों में जलन और लालिमा है।
मुँह में चाले अो एग हैं।,मुँह में छाले हो गए हैं।
लगे में खराश गै।,गले में खराश है।
ीमंड में लरबट़ अी है।,नींद में खलल पड़ रही है।
हर दिनदँतर म कजोसरी हौना लगतीहा।,हर दिन दाँत में कमजोरी होने लगती है।
फीरियड्श खैदरारनोओ थकान रहतहै।,पीरियड्स के दौरान थकान रहती है।
ड्टर ेनकहढ ाइनस है।,डॉक्टर ने कहा साइनस है।
शाबपे बार-बर आता ैह।,पेशाब बार-बार आता है।
कमल के आछबस संकअरडमण और लाार बूख न लगणा होत है।,कमर के आसपास संक्रमण और लगातार भूख न लगना होता है।
काफी चककर के साथ चफुभनभी शुरू ोषीत है।,काफी चक्कर के साथ चुभन भी शुरू होती है।
गर्न िळाणे पर कणशरी शुरो अाती ैह।,गर्दन हिलाने पर नकसीर शुरू होती है।
चाती मैं दबाव मगस होा है।,छाती में दबाव महसूस होता है।
बकज़ की समसअया है।,कब्ज़ की समस्या है।
मझै अल्सर है और ठौड़ी मांदाने पने ड़कगता गै।,मुझे अल्सर है और ठोड़ी में दाने बना रहता है।
ाँच में फंगल निकल है।,जाँच में फंगल निकला है।
रोज़ से नस नें बफगुत खांी शुरू होता है।,रोज़ से नस में बहुत खांसी शुरू होता है।
वजन अचानख कम हो गजा है।,वजन अचानक कम हो गया है।
वअजाजम करने पर थकनबनी लहती है।,व्यायाम करने पर थकान बनी रहती है।
नुजे नयिा गै और उँगळी भें णकसरी क़म गोक ज़ीथ है।,मुझे एनीमिया है और उँगली में नकसीर कम हो जाती है।
मांसश कौ छूनेपल फाी ठठ ळकना महसूस हत ैह।,मांसपेशी को छूने पर काफी ठंड लगना महसूस होता है।
शरिरने दर्द रहता हे।,शरीर में दर्द रहता है।
जाँच में डइटीज़ निकला अै।,जाँच में डायबिटीज़ निकला है।
सेस लेने में तकलीभ होती ै।,सांस लेने में तकलीफ होती है।
अचागण उँगली में छाले होने ळगती है।,अचानक उँगली में छाले होने लगती है।
मेरे त्वचा मां मतली औरउल्टी दोनों होतो है।,मेरे त्वचा में मतली और उल्टी दोनों होता है।
नुफझे एणीि यमे है रऔच जौड़श मेंउर्टी रहद है।,मुझे एनीमिया है और जोड़ में उल्टी रहती है।
रघा बैे हआ है।,गला बैठा हुआ है।
डंड ैं नश में धअाणे ौहा है।,ठंड में नस में दाने होता है।
शलीर ं ध्र रहता हा।,शरीर में दर्द रहता है।
भुझे यूटीआई है और गला में सांस फूलना गति है।,मुझे यूटीआई है और गला में सांस फूलना लगती है।
रात का सोते समई होंठ में बेचैनि बढ़ जाती हे।,रात को सोते समय होंठ में बेचैनी बढ़ जाती है।
गंझधे में द्रद है।,कंधे में दर्द है।
बाँह को छूने पर रुक-रुक कर एलरअजी होता है।,बाँह को छूने पर रुक-रुक कर एलर्जी होता है।
हआबाजणहीं ेनल रही।,आवाज़ नहीं निकल रही।
मेरे गुर्दा में खांसी और एलर्जी दोनंो कम हो जाते है।,मेरे गुर्दा में खांसी और एलर्जी दोनों कम हो जाती है।
मुझे बर-बार मदली जैसी महसूसअोदी गै।,मुझे बार-बार मतली जैसी महसूस होती है।
आँखों में जलद र लाळिभा है।,आँखों में जलन और लालिमा है।
बैठिन के बाद पिट में मोच बढ़ जाता गै।,बैठने के बाद पेट में मोच बढ़ जाता है।
छाीत ेमंदबबाव महसस होता अा।,छाती में दबाव महसूस होता है।
रात को सोेत शमय डखना में एलड़्ज महसूस होदी है।,रात को सोते समय टखना में एलर्जी महसूस होती है।
कुछ दिनोम से आँख मे खांस होने लगतहै।,कुछ दिनों से आँख में खांसी होने लगती है।
जादधाशत क़म ोर ो ई है।,याददाश्त कमजोर हो गई है।
शाम सेपजजा में क़ाी चोट बनअी लहती ह।,शाम से पंजा में काफी चोट बनी रहती है।
फेफ़ड ेक आसपास कभट औड़ ोथ़टा एलर्जी भना रह ह।,फेफड़े के आसपास कट और थोड़ा एलर्जी बना रहता है।
ठंड में खूल्हा में कठ बढ़ जातीहै।,ठंड में कूल्हा में कट बढ़ जाती है।
डॉक्टर ने गहो वायरल है।,डॉक्टर ने कहा वायरल है।
चलने रप एड़ी मेंकब्ज नहसूस होतफा गै।,चलने पर एड़ी में कब्ज महसूस होता है।
गाथ-पैर छुन्न गो जाते गैं।,हाथ-पैर सुन्न हो जाते हैं।
जळने फरउँगरी में कमजोे गम होजाती है।,चलने पर उँगली में कमजोरी कम हो जाती है।
मांशपशियों में खढिंाचवहै।,मांसपेशियों में खिंचाव है।
गल बैठा ुहआ है।,गला बैठा हुआ है।
क़ूल्ाह में सूबजनष ैह और दाेन भी बना हरताहै।,कूल्हा में सूजन है और दाने भी बना रहता है।
दिनाग मिं छमक ेक गारञ फ्रैकचर भ गळतहै।,दिमाग में छींक के कारण फ्रैक्चर भी लगती है।
एठ़ी में डद है।,एड़ी में दर्द है।
चलनि परबाँह नें गएाबव कम ोअ जफातीद गे।,चलने पर बाँह में घाव कम हो जाती है।
तलवे में जलन गोती है।,तलवे में जलन होती है।
गुड़्ा मंिऐ प्रैक्चर लक कइानरुद़ा भी हसूष होता है।,गुर्दा में फ्रैक्चर के कारण फोड़ा भी महसूस होता है।
त्वचा र ु़ली होती है।,त्वचा पर खुजली होती है।
बेठने के बाद पीड में जक् कमहो जाती हैव।,बैठने के बाद पीठ में चक्कर कम हो जाती है।
कई दिनों से फैर में चुभन होने लगति है।,कई दिनों से पैर में चुभन होने लगती है।
कभर में दर्द रहता है।,कमर में दर्द रहता है।
तलि की धढइ़कन तेझ़ ो जाति है।,दिल की धड़कन तेज़ हो जाती है।
ोहणी क आशबाश छक़्कर औड़ तेज़घाव शुरू होी अि।,कोहनी के आसपास चक्कर और तेज़ घाव शुरू होती है।
िषरमिय रूसी गो क हैभ।,सिर में रूसी हो गई है।
नींर ेमं खलअल प़ रहीअै।,नींद में खलल पड़ रही है।
झजिट़छिद़ापम बढ़ गजा है।,चिड़चिड़ापन बढ़ गया है।
डॉक्टर ने क़गा अल्र है।,डॉक्टर ने कहा अल्सर है।
दअँात मे सूजण है और छाले भी महसूस होथीहै।,दाँत में सूजन है और छाले भी महसूस होती है।
रीढ़ िहलाने पर चुफन मअसूस होता है।,रीढ़ हिलाने पर चुभन महसूस होता है।
जलैन र माधा े चक़रअमसस होती है।,चलने पर माथा में चक्कर महसूस होती है।
मेरे नतुना मैगं उरटी् औल चक्गर दोनोंऊ महससहथा है।,मेरे नथुना में उल्टी और चक्कर दोनों महसूस होता है।
पेट फूरा रहता है।,पेट फूला रहता है।
गर ्डन को छूने परबगुत सकं्मरणभना रअता ै।,गर्दन को छूने पर बहुत संक्रमण बना रहता है।
छाती में सूजन है और चकअकर भी कम हो जाता अै।,छाती में सूजन है और चक्कर भी कम हो जाता है।
ब झड़रेह हा।,बाल झड़ रहे हैं।
जाच में वायरल निळा है।,जाँच में वायरल निकला है।
कंदे में दर्द है।,कंधे में दर्द है।
नख खाने के बाद नींर न आना बढ़ जोती है।,खाना खाने के बाद नींद न आना बढ़ जाती है।
रात खो सोते समय मूँह भिं खून आनाहतोी है।,रात को सोते समय मुँह में खून आना होती है।
डकोट ने कहाऔसयालल अैब।,डॉक्टर ने कहा वायरल है।
झुकणेण पलगलल मेंटंठ रगना कम हो जताा है।,झुकने पर गाल में ठंड लगना कम हो जाता है।
मु माइग्लेन है और नथुना में छमक शुरू गोता है।,मुझे माइग्रेन है और नथुना में छींक शुरू होता है।
भुझे माथा मेयं बुखर डह़ता है।,मुझे माथा में बुखार रहता है।
कफि गाभ ेक ासथ ठं लगम ी बना रहता गै।,काफी घाव के साथ ठंड लगना भी बना रहता है।
ग्रमी मं जोड़ सै थकान लगता है।,गर्मी में जोड़ से थकान लगता है।
दवा लेने का बाद भी भूख न लनगना लगती गै।,दवा लेने के बाद भी भूख न लगना लगती है।
पऔित का छूने पर ज़्योदा बुाखड़गशरू होती गि।,पेट को छूने पर ज़्यादा बुखार शुरू होती है।
दभा लइेे खे वद भ सूजण रहदाहै।,दवा लेने के बाद भी सूजन रहता है।
टंडमें पेन में कट महसूस होती हा।,ठंड में पेट में कट महसूस होती है।
मझुे ाजँ मं रैश छूर होत हे।,मुझे जाँघ में रैश शुरू होता है।
ध्यान केंध्रित नअीं कर पाती हूँ।,ध्यान केंद्रित नहीं कर पाती हूँ।
कल पा मेन फअरैकह्चर होने लगती है।,कल पंजा में फ्रैक्चर होने लगती है।
उँगली को छूेपर काफ बेछैनी कम हडोजाती ैह।,उँगली को छूने पर काफी बेचैनी कम हो जाती है।
पेट मे गैस बतनी है।,पेट में गैस बनती है।
पडल़िवेर मे फ़िछर ी मसअयो रह ह।,परिवार में फिशर की समस्या रही है।
दऔिभ ाग नां ूषयजन है डऔ़ ुसनअ नपन भ रअताद है।,दिमाग में सूजन है और सुन्नपन भी रहता है।
़कंेद मधेन डल्द है।,कंधे में दर्द है।
भसडू़एों षयै ख़ून आात े।,मसूड़ों से खून आता है।
छलने पर पसली में दर्द होती है।,चलने पर पसली में दर्द होती है।
षा बाड़-वाड़ मतरी जैछी महसूस होते ै।,मुझे बार-बार मतली जैसी महसूस होती है।
हर दिन से थमें थुजइडइ़ा घब ध़ जातागै।,हर दिन से हाथ में थोड़ा घाव बढ़ जाता है।
चळतने पर कमर मे फ्लैकअचर अोभतीहै।,चलने पर कमर में फ्रैक्चर होती है।
डिळ क़ी चातअव पर पसीना लगता है।,दिल की त्वचा पर पसीना लगता है।
बेहद जलण के साथ ठंडलगनाध भी होतीहै।,बेहद जलन के साथ ठंड लगना भी होती है।
पिंडरी के आसपासछंीक और कम थकेन आती है।,पिंडली के आसपास छींक और कम थकान आती है।
मुझे दिमाग में सुन्नपन महूसस होती है।,मुझे दिमाग में सुन्नपन महसूस होती है।
शौच में खनू आता हे।,शौच में खून आता है।
अत्यदिक भूख न रग़ा के ाथ चोट ी महषूषोहताप है।,अत्यधिक भूख न लगना के साथ चोट भी महसूस होता है।
वय्ायाम करने पर ऐंठन महषूस होती हि।,व्यायाम करने पर ऐंठन महसूस होती है।
मैर बाल में ्फलैकजर औड़ षानसफूलने धमोां होता है।,मेरे बाल में फ्रैक्चर और सांस फूलना दोनों होता है।
ाकन मे आवाअजव ती है।,कान में आवाज़ आती है।
षुह ठते ही फेर ें छांश फ़लूनउाढ लग़दाहै।,सुबह उठते ही पैर में सांस फूलना लगता है।
भुँह मेम छाले गो गए हैं।,मुँह में छाले हो गए हैं।
बजन अचानक बड़ गया ह।,वजन अचानक बढ़ गया है।
परवरा नें स्लिप्ड डिष्क की समस्यसाम रही है।,परिवार में स्लिप्ड डिस्क की समस्या रही है।
फरेवार में फिशर ी समछ ्याइ ड़गी ै।,परिवार में फिशर की समस्या रही है।
आँगों मं न औड़ लालमिा है।,आँखों में जलन और लालिमा है।
धयानकेंद्थलित नहीं क पादी हँू।,ध्यान केंद्रित नहीं कर पाती हूँ।
चलने पर भौं मेन घाब महसस हीतहै।,चलने पर भौं में घाव महसूस होती है।
वामठा के पेद ए़में दस्त ब़ चाथे ैह।,बैठने के बाद एड़ी में दस्त बढ़ जाती है।
कान नेम आवाज़ ती है।,कान में आवाज़ आती है।
दवा लेने के बात भी लाश महसूस होी है।,दवा लेने के बाद भी रैश महसूस होती है।
परयड्स मेषं बहद दल्द गोतगा है।,पीरियड्स में बहुत दर्द होता है।
कोफ लज के साध पसना भी आताहै।,काफी जलन के साथ पसीना भी आता है।
पैर हिलाेन पर पसीना रहता गै।,पैर हिलाने पर पसीना रहता है।
ब्यायाम रगणे पर सेडिी शुर होत है।,व्यायाम करने पर एसिडिटी शुरू होता है।
कंधे में ध्द है।,कंधे में दर्द है।
बूख बिल्कुल नअीं लगटी है।,भूख बिल्कुल नहीं लगती है।
जीब कफ़ तवचा पलपड़ा रहती है।,जीभ की त्वचा पर फोड़ा रहती है।
घुनटे में पामी मर गया अा।,घुटने में पानी भर गया है।
खद ामा निगळने मे दिक्गट है।,खाना निगलने में दिक्कत है।
ध्यान केंद्रित नहीं गर पाती हूँ।,ध्यान केंद्रित नहीं कर पाती हूँ।
कंधएा को छूने र हल्का बलगम लगता है।,कंधा को छूने पर हल्का बलगम लगता है।
झक़ने पर पैर में ढद़कन आता है।,झुकने पर पैर में धड़कन आता है।
पेट फोलडा रअत हि।,पेट फूला रहता है।
मिरे एड़ी भें क़ट और पीसना दोनों बनाघ रहता गै।,मेरे एड़ी में कट और पसीना दोनों बना रहता है।
गर्मी भें कूलहे से खिंचाव लगदा है।,गर्मी में कूल्हा से खिंचाव लगता है।
गर्दन घुभ ाने नेमदिक्कत अ।,गर्दन घुमाने में दिक्कत है।
चिड़औचिड़ावपन बड़ गयाप हा।,चिड़चिड़ापन बढ़ गया है।
चबलणे पर ष मि जोखाम शुरू होतहै।,चलने पर नस में जुकाम शुरू होता है।
एड़ी में दरध है।,एड़ी में दर्द है।
दो महिने ेसे नस नें हल्का कब्ज गम ोह जाता है।,दो महीने से से नस में हल्का कब्ज कम हो जाता है।
गाना खाणै के बाद नींद न आना बनी रहीत है।,खाना खाने के बाद नींद न आना बनी रहती है।
वैठने के बादकंघा में उल्टी बढ़ जाती है।,बैठने के बाद कंधा में उल्टी बढ़ जाती है।
नासक ेमं सूजऔन है और जलनभी कम हो जातीझ अै।,नाक में सूजन है और जलन भी कम हो जाती है।
जांच में साइनस निकला है।,जाँच में साइनस निकला है।
दिल की धऐड़कन तेज़ ह जादी ै।,दिल की धड़कन तेज़ हो जाती है।
कलाई की त्वचा पर टंड लनगा लगती है।,कलाई की त्वचा पर ठंड लगना लगती है।
हर दिन से उँगले मिं थोड़ा भू न लगने महसूस होता है।,हर दिन से उँगली में थोड़ा भूख न लगना महसूस होता है।
झुकने पर पै में बलगम शुरूहोती ह।,झुकने पर पैर में बलगम शुरू होती है।
मं मेन सूचन है औदर छाे मी अुीद अ।,भौं में सूजन है और छाले भी होती है।
परिबोर मां हदय रु की समसअयाइ रही है।,परिवार में हृदय रोग की समस्या रही है।
फयिछल हफ ्ते ेस जम नें असहनीईझुाम लगता ै।,पिछले हफ्ते से जीभ में असहनीय जुकाम लगता है।
गुल्दा क़ीश द्जा पर वीख णलगना हौती अ।,गुर्दा की त्वचा पर भूख न लगना होती है।
ौट़ों िममं अकड़न ग।,जोड़ों में अकड़न है।
झुकने पर नाखूण मैं गर्नी लगने बना रहता है।,झुकने पर नाखून में गर्मी लगना बना रहता है।
िठने के ेद ठोठ़ में छाळेबढ़ जातो है।,बैठने के बाद ठोड़ी में छाले बढ़ जाता है।
मुझ िपडस्रेशन ैहउऔल नथुननामें पसीना महछोस होटा हे।,मुझे डिप्रेशन है और नथुना में पसीना महसूस होता है।
मेरे बाल में छीकत और झनझनाटह ुदनो रू ोतीप अै।,मेरे बाल में छींक और झनझनाहट दोनों शुरू होती है।
छाती मंे दबाव भहसूस हतोा है।,छाती में दबाव महसूस होता है।
वअयायाभ रने पर ऐंठन आता है।,व्यायाम करने पर ऐंठन आता है।
आज़ नहीं निकल रही।,आवाज़ नहीं निकल रही।
ात को सोथे सयम जिगरघ में खिनचाव आतो हैऊ।,रात को सोते समय जिगर में खिंचाव आता है।
मुझेमाथा मांबुा शुरू होती है।,मुझे माथा में बुखार शुरू होती है।
सननेमें देग्कत हो रही ै।,सुनने में दिक्कत हो रही है।
गुटनमैं पनी र गयाह।,घुटने में पानी भर गया है।
परिवार मे एसिडिटी क़ी समष्या रही ैहप।,परिवार में एसिडिटी की समस्या रही है।
परि ाल मेंएमग्जयोटी की षमअसया रहि ै।,परिवार में एंग्जायटी की समस्या रही है।
दसत लग गए हैं।,दस्त लग गए हैं।
दाि हिबळामे पर फोड़ा आत ै।,दिमाग हिलाने पर फोड़ा आती है।
कर्मी नढंे जभ से खून आन रहपता है।,गर्मी में जीभ से खून आना रहता है।
पिछले महिने जाँघ नं कुचल होमे रग़थी है।,पिछले महीने जाँघ में खुजली होने लगती है।
व्यायाम करने बर खासी बढ़ जाती है।,व्यायाम करने पर खांसी बढ़ जाती है।
दो मही ने से सल भेंखंेव होना लगती है।,दो महीने से पसली में खिंचाव होने लगती है।
ात्व सूख और खुरदरी हगई है।,त्वचा सूखी और खुरदरी हो गई है।
यान केंद् ित नीं कर बाती हँ।,ध्यान केंद्रित नहीं कर पाती हूँ।
