Hindi_raw,expected_outputs,model_prediction,is_correct
फोड़ा पकन पर हल्का-सा मदवा भी दिखता है।,फोड़ा पकने पर हल्का-सा मवाद भी दिखता है।,फोड़ा पलक पर हल्का-सा मदवा भी दिखता है।,False
काफी समय से नाखन का दर्द पूर तरह से जा नहीं रहा।,काफी समय से नाखून का दर्द पूरी तरह से जा नहीं रहा।,काफी समय से नाखून का दर्द कम हो जाता है।,False
सुबह उठत ही पेट में उल्ट-सी आने लगती है।,सुबह उठते ही पेट में उल्टी-सी आने लगती है।,सुबह उठते ही पेट में उँगली आने लगती है।,False
खाना देखने या उसकी गंत से उल्टी जैसा लगने लगता है।,खाना देखने या उसकी गंध से उल्टी जैसा लगने लगता है।,खाना खाने के बाद गैस से उल्टी जैसी लगना लगता है।,False
नाक के अंदर जलद और चुबन के बाद खून आने लगता है।,नाक के अंदर जलन और चुभन के बाद खून आने लगता है।,नाक के आसपास जलन और चुभन के बाद खून आने लगता है।,False
कवी-कवी घबराहट इतनी बढ़ जाती है कि कुछ भी करन का मन नहीं करता।,कभी-कभी घबराहट इतनी बढ़ जाती है कि कुछ भी करने का मन नहीं करता।,कभी-कभी घबराहट के कारण बढ़ जाती है।,False
मुझे अक्सर बिना बजह घबराहट महसूस होती है।,मुझे अक्सर बिना वजह घबराहट महसूस होती है।,मुझे अक्सर बिना घबराहट महसूस होती है।,False
न्यूरोसर्र की वजह से अभी भी नियमित चेअप कराना पड़ता है।,न्यूरोसर्जरी की वजह से अभी भी नियमित चेकअप कराना पड़ता है।,कमर की वजह से अभी भी नियमित चेहनी करना रहता है।,False
"गर्दन में कमजोर महसूस होती है, जैसे सिर संभालन मुश्किल हो।","गर्दन में कमजोरी महसूस होती है, जैसे सिर संभालना मुश्किल हो।",गर्दन में कमजोरी महसूस होती है।,False
भीड़ या नए लोगों के बच जाने पर बहुत बराहट होने लगती है।,भीड़ या नए लोगों के बीच जाने पर बहुत घबराहट होने लगती है।,खाना खाने पर बहुत बढ़ जाती है।,False
मुँह घुमाने या निलने पर सजन वाली जगह खिंचती है।,मुँह घुमाने या निगलने पर सूजन वाली जगह खिंचती है।,मुँह घुमाने के बाद सजन वाली जगह खिंचती है।,False
गर् लगने पर नकसीश ज्यादा हो जाती है।,गर्मी लगने पर नकसीर ज्यादा हो जाती है।,गर्मी लगने पर नकसीश कम हो जाती है।,False
गर्दन की मांसशिपेयों में ताकत कम महसूस होती है।,गर्दन की मांसपेशियों में ताकत कम महसूस होती है।,गर्दन की मांसपेशी में ताकत कम महसूस होती है।,False
सूजन के कारण गल और गर्न दोनों में असहजता रहती है।,सूजन के कारण गला और गर्दन दोनों में असहजता रहती है।,सूजन के कारण गल और गर्दन दोनों में असहनीय रहती है।,False
गर्नपे पर तेज़ चीज़ से कट लग गया है।,गर्दन पर तेज़ चीज़ से कट लग गया है।,गर्मी पर तेज़ चीज़ से कट लग गया है।,False
काफी समय से फोड़ पूरी तरह सूख नहीं रहा है।,काफी समय से फोड़ा पूरी तरह सूख नहीं रहा है।,काफी समय से फोड़ पूरी तरह सूजन है।,False
कपड़ा या चेन छू जाए तो फड़ा और ज्यादा दुखत है।,कपड़ा या चेन छू जाए तो फोड़ा और ज्यादा दुखता है।,पैर में चेहनी छूने के बाद ज्यादा दुख है।,False
घबहराट होने पर पसीन भी ज्यादा आने लगता है कवी-कवी ठीक से बात भी नहीं कर पाता,घबराहट होने पर पसीना भी ज्यादा आने लगता है कभी-कभी ठीक से बात भी नहीं कर पाता,घबराहट होने पर पसीना भी कम आना लगता है,False
थोड़ी देर तक धीसी गर्दन रखूँ तो थका-सी लगने लगती है।,थोड़ी देर तक सीधी गर्दन रखूँ तो थकान-सी लगने लगती है।,थोड़ा देर तक गर्दन रखूँ और थकान लगने लगती है।,False
सिर घुमन पर कट वाली जगह खिंती और दर्द करती है।,सिर घुमाने पर कट वाली जगह खिंचती और दर्द करती है।,सिर घुटना पर कट वाली जगह खिंचाव और दर्द करती है।,False
फोड़ वली जगह गर्म और कड़ महसूस होती है।,फोड़े वाली जगह गर्म और कड़ी महसूस होती है।,फोड़ी में गर्मी और कड़न महसूस होती है।,False
कट वाली जगह से शुरू में बहुत खन निकला।,कट वाली जगह से शुरू में बहुत खून निकला।,कट वाली जगह से शुरू होता है।,False
घबराहट में थहा-पैर ठंडे पड़ जाते हैं।,घबराहट में हाथ-पैर ठंडे पड़ जाते हैं।,घबराहट में थकान ठंड लग जाते हैं।,False
कभी-कभी रेपशन वाली जगह पर हल्का-सा दर्द या खिंचाव महसूस होता है।,कभी-कभी ऑपरेशन वाली जगह पर हल्का-सा दर्द या खिंचाव महसूस होता है।,कभी-कभी रेप्शन वाली जगह पर हल्का दर्द होता है।,False
पट् हटाने पर घाव सूखा हुआ लेकिन नासूक लगता है।,पट्टी हटाने पर घाव सूखा हुआ लेकिन नाज़ुक लगता है।,पेशाब हटाने पर घाव सूजन लगता है।,False
थकान होने पर गर्दन और भी ज्यादा लीढी-सी महसूस होती है।,थकान होने पर गर्दन और भी ज्यादा ढीली-सी महसूस होती है।,ठंड होने पर गर्दन और भी ज्यादा लीढ़ी महसूस होती है।,False
पानी या पसना लगने पर कट में जलद बढ़ जाती है।,पानी या पसीना लगने पर कट में जलन बढ़ जाती है।,पानी में जलन बढ़ जाती है।,False
सूजद वाली जगह छूने पर दर्द होता है।,सूजन वाली जगह छूने पर दर्द होता है।,सूजन वाली जगह छूने पर दर्द होता है।,True
कुछ दिन से सूजन का आकार कम-ज्यादा होता दिख रहा है।,कुछ दिन से सूजन का आकार कम-ज्यादा होता दिख रहा है।,कुछ दिन से सूजन का आकार कम हो जाता है।,False
कट पुराना होने के बावजूद पूरी तरह भरा हुआ नहीं दिखता।,कट पुराना होने के बावजूद पूरी तरह भरा हुआ नहीं दिखता।,कट पुराना होने के बाद पूरी तरह भरा होता है।,False
सूजन के साथ ल्काह-सा गहटर्मा भी महसूस होती है।,सूजन के साथ हल्का-सा गर्माहट भी महसूस होती है।,सूजन के साथ एलर्जी भी महसूस होती है।,False
फोड़े के आसपास की त्वशा लाल और सूजी हुई है।,फोड़े के आसपास की त्वचा लाल और सूजी हुई है।,फोड़े के आसपास की त्वचा लाल और सूजन होती है।,False
मैं बार-बार मलीत महसूस करदा रौंह्ना।,मैं बार-बार मतली महसूस करदा रौंह्ना।,मेरे बार-बार मल में महसूस होता है।,False
कट के आसपास की त्वचा लाल और संदवेनशील हो गई है।,कट के आसपास की त्वचा लाल और संवेदनशील हो गई है।,कट के आसपास की त्वचा लाल और संक्रमण शुरू हो गई है।,False
कपड़ा लगाने के बाद भी गर्दन से खून शाड़ा- शाड़ा आता रहता है।,कपड़ा लगाने के बाद भी गर्दन से खून थोड़ा-थोड़ा आता रहता है।,कलाई लगाने के बाद भी गर्दन से खून शारी आता है।,False
एक तरफ की दूसरी गर्दन तरफ से थोड़ी ज्यादा फूवी हुई दिखती है।,एक तरफ की गर्दन दूसरी तरफ से थोड़ी ज्यादा फूली हुई दिखती है।,कोहनी की गर्दन में थोड़ा ज्यादा फूला हुई दिक्कत होती है।,False
कभी-कभी सिर्फ पान पीने के बाद भी उल्टी जैसा लगता है।,कभी-कभी सिर्फ पानी पीने के बाद भी उल्टी जैसा लगता है।,कभी-कभी पानी पीने के बाद भी उल्टी जैसी लगता है।,False
कुछ दिन से सूशा का आका कम-ज्यादा होता दिख रहा है।,कुछ दिन से सूजन का आकार कम-ज्यादा होता दिख रहा है।,कुछ दिन से सूजन का आना कम हो जाता है।,False
किसी चीज़ से टकने पर नाखून में तेज़ दर्द होता है।,किसी चीज़ से टकराने पर नाखून में तेज़ दर्द होता है।,खाना खाने पर नाखून में दर्द होता है।,False
रात में लेटने पर भी नान वाला दर्द परेशान करता है।,रात में लेटने पर भी नाखून वाला दर्द परेशान करता है।,रात में लेटने पर भी दर्द परेशान करता है।,False
लीमत के साथ पेट में भी हल्का दर्द रहता है।,मतली के साथ पेट में भी हल्का दर्द रहता है।,गर्मी के साथ पेट में हल्का दर्द रहता है।,False
नाखून के नीशा से धड़कन जैसा दर्द महसूस होता है।,नाखून के नीचे से धड़कन जैसा दर्द महसूस होता है।,नाखून के नींद से धड़कन जैसी दर्द महसूस होता है।,False
नाखून बढ़ने पर उनका कारआ ठीक नहीं दिखता।,नाखून बढ़ने पर उनका आकार ठीक नहीं दिखता।,नाखून बढ़ने पर त्वचा ठीक नहीं दिखता है।,False
लंबे समय तकगर्दन को सहारा बैठने के बाद देने का मन होता है।,लंबे समय तक बैठने के बाद गर्दन को सहारा देने का मन होता है।,लंबे समय तकलीफ को सहारा बैठने के बाद देने का मन होता है।,False
"नाखून सस्त और बेनजा से लगते हैं, पहले जैसे चमकदार नहीं हैं।","नाखून सुस्त और बेजान से लगते हैं, पहले जैसे चमकदार नहीं हैं।",नाखून सस्त और बेचैनी से लगते हैं।,False
नाखून बहुत पलेत होकर बढ़ते हैं और जल्दी टूट जाते हैं।,नाखून बहुत पतले होकर बढ़ते हैं और जल्दी टूट जाते हैं।,नाखून बहुत पलट जाते हैं और जलन हो जाते हैं।,False
कुछ नाखूनों का निचल स्सा हि भूरा-सा दिखाई देता है।,कुछ नाखूनों का निचला हिस्सा भूरा-सा दिखाई देता है।,कुछ नाखूनों का निचैनी महसूस होता है।,False
पहले भी मुझे मानस तवना की समस्या रह चुकी है।,पहले भी मुझे मानसिक तनाव की समस्या रह चुकी है।,सुबह उठते ही मुझे मानसिक त्वचा की समस्या रहती है।,False
शाड़ी में बने पर तुरंत उल्टी जैसा महसूस होता है।,गाड़ी में बैठने पर तुरंत उल्टी जैसा महसूस होता है।,खाना खाने पर तुरंत उल्टी जैसी महसूस होता है।,False
मानस स्थ्यस्वा के लिए पहले इजला भी करवाया था।,मानसिक स्वास्थ्य के लिए पहले इलाज भी करवाया था।,मांसपेशी के बाद पहले इजला भी करता है।,False
एक-दो नाख का रंग बाकी उंगलयों से अलग दिखाई देता है।,एक-दो नाखूनों का रंग बाकी उंगलियों से अलग दिखाई देता है।,सुबह उठते नाख का रंग बाकी उँगली से अलग दिक्कत होता है।,False
कवी‑कवी पहले जैसा डिशनप्रे महसूस करता हूं।,कभी‑कभी पहले जैसा डिप्रेशन महसूस करता हूं।,कलाई में जैसी डिप्रेशन महसूस होता है।,False
कभी-कभी नाखून बीच से टढ़-मढ़ होकर बढ़ते हैं।,कभी-कभी नाखून बीच से टेढ़े-मेढ़े होकर बढ़ते हैं।,कभी-कभी नाखून में टखना बढ़ जाता है।,False
पुराने नाक दर्द अनुभव अभी भी दिगमा पर असर डालते हैं।,पुराने दर्दनाक अनुभव अभी भी दिमाग पर असर डालते हैं।,पुराने पर दर्द और दिमाग पर असर डालते हैं।,False
परिवार में भी माकनसि स्वास्थ की समस्या रही है।,परिवार में भी मानसिक स्वास्थ्य की समस्या रही है।,परिवार में मांसपेशी की समस्या रही है।,False
लंबे समय से नाखूनों की थग्रो पहले जैसी नहीं लग रही।,लंबे समय से नाखूनों की ग्रोथ पहले जैसी नहीं लग रही।,लंबे समय से नाखूनों की थकान जैसी नहीं लगती है।,False
कभी-कभी महसूस करती हूं बहुत खुश तो कभी-कभी बहुत उदास हो जाती हूं,कभी-कभी बहुत खुश महसूस करती हूं तो कभी-कभी बहुत उदास हो जाती हूं,कभी-कभी महसूस करती हूँ बहुत खुश हो जाती है।,False
जूता या प्ल पहनने पर नाखून में खिंचा और दर्द होता है।,जूता या चप्पल पहनने पर नाखून में खिंचाव और दर्द होता है।,जूता में खिंचाव और दर्द होता है।,False
मैं भरदिन बहुत कम पानी पाती हूँ।,मैं दिनभर बहुत कम पानी पाती हूँ।,मेरे भरने में बहुत कम पानी पाती है।,False
कभी‑कभी ऐसा लगता है कि भाएँवना काबू में नहीं हैं।,कभी‑कभी ऐसा लगता है कि भावनाएँ काबू में नहीं हैं।,कभी में ऐंठन काफी लगता है।,False
मुँह सखत रहता है लेकिन फिर भी पानी कम पीती हूँ।,मुँह सूखता रहता है लेकिन फिर भी पानी कम पीती हूँ।,मुँह सखत रहता है।,False
"मूड नहीं रहता, बार‑बार बदल जाता है।","मूड स्थिर नहीं रहता, बार‑बार बदल जाता है।",मुझे बार-बार बदल जाता है।,False
मैं अभी कुछ दवाइयाँ/ड्ग् ले रही हूँ जिनका असर महसूस हो रहा है।,मैं अभी कुछ दवाइयाँ/ड्रग्स ले रहा/रही हूँ जिनका असर महसूस हो रहा है।,मेरे अभी कुछ दवा लेने के बाद असर महसूस होता है।,False
कुछ ग्सड्र की जह से नींद ज़्यादा आती है और काम पर असर पड़ता है।,कुछ ड्रग्स की वजह से नींद ज़्यादा आती है और काम पर असर पड़ता है।,कुछ गैस की जह से नींद ज़्यादा आती है और काम पर असर पड़ता है।,False
ड्रग्स/दवाइयों की जह से मूड भी बदता हुआ महसूस होता है।,ड्रग्स/दवाइयों की वजह से मूड भी बदलता हुआ महसूस होता है।,गर्मी की जकड़न से मूड भी बदलता है।,False
कभी‑कभी दवा से पट में बड़ीगड़ हो जाती है।,कभी‑कभी दवा से पेट में गड़बड़ी हो जाती है।,कभी उठते ही दवा से पट में बढ़ जाती है।,False
दवा के साइड इक्टफे के बारे में चिंता रहती है।,दवा के साइड इफेक्ट के बारे में चिंता रहती है।,दवा के साइड इक्टैक्चर के कारण चिंता रहती है।,False
नाख का रंग बलने से देखकर भी अजीब लगता है।,नाखूनों का रंग बदलने से देखकर भी अजीब लगता है।,नाख का रंग बलने से देखकर भी अजीब लगता है।,False
कभी‑कभी डज़ लेना भूल जाती हूँ।,कभी‑कभी डोज़ लेना भूल जाती हूँ।,कभी डकार लेना महसूस होती है।,False
दवा लेने के बाद शरीर रीभा‑रीभा लगने लगता है।,दवा लेने के बाद शरीर भारी‑भारी लगने लगता है।,दवा लेने के बाद शरीर रीढ़ लगने लगता है।,False
दवाइयाँ बंद कर दूँ तो लक्ण फिर से बढ़ने लगते हैं।,दवाइयाँ बंद कर दूँ तो लक्षण फिर से बढ़ने लगते हैं।,दवा लेने के बाद लैक्चर फिशर से बढ़ जाता है।,False
र्मीग में भी सही मत्रा में पानी नहीं पी पाती।,गर्मी में भी सही मात्रा में पानी नहीं पी पाती।,सुबह में सही मसूड़ में पानी नहीं पीती है।,False
दवा या ड्रग लेने के बाद बहुत सुबे आने लगती है।,दवा या ड्रग लेने के बाद बहुत सुस्ती आने लगती है।,दवा लेने के बाद बहुत सुन्नपन आने लगती है।,False
कभी‑कभी दवा से चक्कर और कमजोरी महसूस होती है।,कभी‑कभी दवा से चक्कर और कमजोरी महसूस होती है।,कभी उठते ही दवा से चक्कर और कमजोरी महसूस होती है।,False
मुझे किसी भी चज़ की गंते महसूस नहीं हो रही है।,मुझे किसी भी चीज़ की गंध महसूस नहीं हो रही है।,मुझे किसी भी चुभन की समस्या महसूस हो रही है।,False
परमफ्यू या अगत्ती की खुशबू भी पता नहीं चलती।,परफ्यूम या अगरबत्ती की खुशबू भी पता नहीं चलती।,पेट में खुजली भी पता है।,False
दर्द वाली जगह को छन पर तकलीफ और बढ़ जाती है।,दर्द वाली जगह को छूने पर तकलीफ और बढ़ जाती है।,दर्द वाली जगह को छूने पर तकलीफ और बढ़ जाती है।,True
सिर की त्वचा में बहुत खली हो रही है।,सिर की त्वचा में बहुत खुजली हो रही है।,सिर की त्वचा में बहुत खून हो रही है।,False
कुछ दवाओं के बाद नध्या और यादाश्तद पर भी असर पड़ रहा है।,कुछ दवाओं के बाद ध्यान और याददाश्त पर भी असर पड़ रहा है।,कुछ दवाओं के बाद नध्यान और यादाश्त पर भी असर पड़ता है।,False
मूड ग्सस्विं की वजह से काम और रिश्तों पर भी असर पड़ रहा है।,मूड स्विंग्स की वजह से काम और रिश्तों पर भी असर पड़ रहा है।,मुझे गैस की वजह से जुकाम और रिश्तों पर भी असर पड़ता है।,False
पहले जै सुधगं पहचानने की क्षमता नहीं रही।,पहले जैसी सुगंध पहचानने की क्षमता नहीं रही।,सुबह उठने की क्षमता नहीं रही।,False
"आँखें रगडने से थोड़ी राहत मिलती है, लेकिन फिर वही समस् शुरू हो जाती है।","आँखें रगड़ने से थोड़ी राहत मिलती है, लेकिन फिर वही समस्या शुरू हो जाती है।",आँखों से थोड़ा समस्या शुरू हो जाती है।,False
परमफ्यू या अत्तीगरब की खुबू भी पता नहीं चलती।,परफ्यूम या अगरबत्ती की खुशबू भी पता नहीं चलती।,परमफ्यू में अत्यधिक खुजली भी पता है।,False
ड्रडैंफ की वजह से जग‑जग खुजली हो रही है।,डैंड्रफ की वजह से जगह‑जगह खुजली हो रही है।,गर्मी की वजह से जकड़न खुजली हो रही है।,False
सिर में हल्क जल के साथ खुजली होती है।,सिर में हल्की जलन के साथ खुजली होती है।,सिर में हल्क जल के साथ खुजली होती है।,False
"तेल लगाने पर थोड़ देर के लिए आम मिलता है, फिर खुजली वापस शुरू हो जाती है।","तेल लगाने पर थोड़ी देर के लिए आराम मिलता है, फिर खुजली वापस शुरू हो जाती है।",तेज़ लगाने पर थकान के कारण खुजली शुरू हो जाती है।,False
खुली की वजह से बाल ज्यादा ड़ने लगे हैं।,खुजली की वजह से बाल ज्यादा झड़ने लगे हैं।,खाली की वजह से बाल कम हो जाता है।,False
पीयडरि आने से पहले और बाद में भी शरीर में अजीब‑सा महसूस होता है।,पीरियड आने से पहले और बाद में भी शरीर में अजीब‑सा महसूस होता है।,पेशाब आने से बाद भी शरीर में अजीब महसूस होता है।,False
अनियमत होने के सा‑सा दर्द और थकान भी ज्यादा रहती है।,अनियमित होने के साथ‑साथ दर्द और थकान भी ज्यादा रहती है।,अनियमित होने के बाद दर्द और थकान भी कम रहती है।,False
धड़कन की बड़ीगड़ के साथ हल्का चक्कते भी महसूस होता है।,धड़कन की गड़बड़ी के साथ हल्का चक्कर भी महसूस होता है।,धड़कन की बड़ी गैस के साथ हल्का चुभन भी महसूस होता है।,False
आराम की ति स्थि में भी दि की धड़कन स्थिर नहीं रहती।,आराम की स्थिति में भी दिल की धड़कन स्थिर नहीं रहती।,आँख की त्वचा में भी धड़कन स्थिर रहती है।,False
"दिल की कनधड़ कभी तेज़, कभी धीमी हो जाती है।","दिल की धड़कन कभी तेज़, कभी धीमी हो जाती है।",दिल की त्वचा कभी तेज़ हो जाती है।,False
खजाने पर त्वचा पर ला‑ला निशान पड़ जाते हैं।,खुजाने पर त्वचा पर लाल‑लाल निशान पड़ जाते हैं।,खजाने पर त्वचा पर लाभ आ जाते हैं।,False
छोट‑सी मेनत में भी दिल की कनधड़ असामान्य लगती है।,छोटी‑सी मेहनत में भी दिल की धड़कन असामान्य लगती है।,खाना खाने में दिल की धड़कन अत्यधिक लगती है।,False
रात में देर तक नद नहीं आती है।,रात में देर तक नींद नहीं आती है।,रात में देर तक न आती है।,False
"दिगमा में विचार चलते रहते हैं, इसलिए दनीं नहीं आती।","दिमाग में विचार चलते रहते हैं, इसलिए नींद नहीं आती।",दिमाग में विचार चलते हैं।,False
चोट की वजह से उस हस्से को ठीक से हला नहीं पा रही हूँ।,चोट की वजह से उस हिस्से को ठीक से हिला नहीं पा रही हूँ।,चोट की वजह से उस हड्डी को ठीक से हला नहीं पाती है।,False
चलने‑फरने या हलने पर दर्द और बज जाता है।,चलने‑फिरने या हिलने पर दर्द और बढ़ जाता है।,चलने के बाद दर्द और बढ़ जाता है।,False
पूरी रात कवटेंर बदते‑बदते निकल जाती है।,पूरी रात करवटें बदलते‑बदलते निकल जाती है।,सुबह उठते ही कलाई में दर्द रहती है।,False
नींद की कमी की वजह से दिनभर थनका और चिड़ड़ाचिपन रहता है।,नींद की कमी की वजह से दिनभर थकान और चिड़चिड़ापन रहता है।,नींद की कमी की वजह से दिनभर थकान और चिड़चिड़ापन रहता है।,True
वघा भरने में काफ़ी समय लग रहा है।,घाव भरने में काफ़ी समय लग रहा है।,वजन भरने में काफी समय लगता है।,False
खाने खाना के बाद पेट वीरी‑वीरी महसूस होता है।,खाना खाने के बाद पेट भारी‑भारी महसूस होता है।,खाना खाने के बाद पेट वीडियोरी महसूस होता है।,False
पेट में गैर और जलदि महसूस होती है।,पेट में गैस और जलन महसूस होती है।,पेट में जलन और जलन महसूस होती है।,False
नींर बार‑बार बीच में खुदि जाती है।,नींद बार‑बार बीच में खुल जाती है।,नींद बार-बार बीच में खुजली जाती है।,False
चोट की वजह से उस हिस्स को ठीक से हल नहीं पा रही हूँ।,चोट की वजह से उस हिस्से को ठीक से हिला नहीं पा रही हूँ।,चोट की वजह से उस हिस्स को ठीक से हल नहीं पाती है।,False
"भूक तो लग है, लेकिन खाना ठीक से पचसूस नहीं है।","भूख तो लगती है, लेकिन खाना ठीक से पचता नहीं है।",भूख तो लगता है और खाना ठीक से पचता है।,False
वघा भने में कफ़ समय लग रहा है।,घाव भरने में काफ़ी समय लग रहा है।,वजन में कफ समय लगता है।,False
थोजह‑सा खा पर ही पेट फूद जाता है।,थोड़ा‑सा खाने पर ही पेट फूल जाता है।,ठंड में खाना खाने पर पेट फूल जाता है।,False
चोह वाली जगह पर बहुत तेज़ दर्द हो रहा है।,चोट वाली जगह पर बहुत तेज़ दर्द हो रहा है।,चोट की जगह पर बहुत दर्द हो रही है।,False
कनधड़ इतनी तेह होती है कि खुद महसूस कर सकती हूँ।,धड़कन इतनी तेज़ होती है कि खुद महसूस कर सकती हूँ।,नाक में तेज़ महसूस होती है।,False
ठंड में जोड और मांशिसपेयों में जकड़न महसूस होती है।,ठंड में जोड़ों और मांसपेशियों में जकड़न महसूस होती है।,ठंड में जोड़ और मांसपेशियों में जकड़न महसूस होती है।,False
ज़रा‑सी ठंड में भी रीरश कांनेप लगता है।,ज़रा‑सी ठंड में भी शरीर कांपने लगता है।,ज़्यादा ठंड में भी रीढ़ शुरू होता है।,False
घहटबरा होने पर दिल और ज़ते धड़कने लगता है।,घबराहट होने पर दिल और तेज़ धड़कने लगता है।,घबराहट होने पर दिल और ज़्यादा धड़कने लगता है।,False
मआरा करते समय भी धनड़क सामान्य नहीं रहती।,आराम करते समय भी धड़कन सामान्य नहीं रहती।,मसूड़ करते समय भी धड़कन सांस नहीं रहती है।,False
ठंडे पानी से छूते ही रनसिह होने लगती है।,ठंडे पानी से छूते ही सिहरन होने लगती है।,ठंड पानी से छूते ही रनश होने लगती है।,False
ड़ाथो चलने पर ही नधड़क बढ़ जाती है।,थोड़ा चलने पर ही धड़कन बढ़ जाती है।,ड़ाथो चलने पर ही नखून बढ़ जाती है।,False
ल्काह काम करने पर भी लदि तेजी से चलने लगता है।,हल्का काम करने पर भी दिल तेजी से चलने लगता है।,सुबह उठने पर भी तेज़ तेज़ से चलने लगता है।,False
थोड़ी देर में पेट में फिर से गुड़ाहड़गुट होने लगती है।,थोड़ी देर में पेट में फिर से गुड़गुड़ाहट होने लगती है।,थोड़ी देर में पेट में फिशर से गुड़ाहट होने लगती है।,False
पेट में लगातार घहटबरा और चैनीबे‑सी रहती है।,पेट में लगातार घबराहट और बेचैनी‑सी रहती है।,पेट में लगातार घाव और चोट बढ़ जाती है।,False
मेरी आवाज़ कई दिनों से बठी हुई है।,मेरी आवाज़ कई दिनों से बैठी हुई है।,मेरी आवाज़ कई दिनों से बढ़ जाती है।,False
हल्की ठंड लगने पर भी कना बहने और दर्दसिर की समस्या शुरू हो जाती है।,हल्की ठंड लगने पर भी नाक बहने और सिरदर्द की समस्या शुरू हो जाती है।,हल्का ठंड लगने पर भी दर्द रहती है।,False
लाग भारी‑भारी लगता है और ज़आवा साफ़ नहीं निकलती।,गला भारी‑भारी लगता है और आवाज़ साफ़ नहीं निकलती।,व्यायाम करने पर ज़्यादा सांस नहीं निकलती है।,False
नेसी में जोर‑जोर से कसी‑कध महसूस होती है।,सीने में जोर‑जोर से धक‑धक महसूस होती है।,नेसी में जोड़ से कमजोरी महसूस होती है।,False
खाना खाने के बाद लेटने पर समस्या और बढ़ जाती है।,खाना खाने के बाद लेटने पर समस्या और बढ़ जाती है।,खाना खाने के बाद लेटने पर समस्या और बढ़ जाती है।,True
लंबी चीतबात करने पर ज़आवा टूट जाती है।,लंबी बातचीत करने पर आवाज़ टूट जाती है।,लंबी चीत करने पर ज़्यादा टूट जाती है।,False
हवा लगते ही हाथ‑पैर ठड और सुत‑से हो जाते हैं।,हवा लगते ही हाथ‑पैर ठंडे और सुन्न‑से हो जाते हैं।,हवा लगते ही हाथ में ठंड और सुन्नपन हो जाते हैं।,False
कना मोड़ने या छूने पर टक खिंचता है।,नाक मोड़ने या छूने पर कट खिंचता है।,कलाई में छूने पर टक खिंचता है।,False
कट वाली जगह छूने पर बहुत र्द द होता है।,कट वाली जगह छूने पर बहुत दर्द होता है।,कट वाली जगह छूने पर बहुत दर्द होता है।,True
ल्काह काम करने पर भी लदि तेजी से चलने लगता है।,हल्का काम करने पर भी दिल तेजी से चलने लगता है।,सुबह उठने पर भी तेज़ तेज़ से चलने लगता है।,False
बलम जमा हुआ है और कलनि नहीं रहा।,बलगम जमा हुआ है और निकल नहीं रहा।,बलगम जमा हुआ है और कलनी नहीं रहता है।,False
लाग साफ़ करने की शिशको करने पर भी आवाज़ ठीक नहीं होती।,गला साफ़ करने की कोशिश करने पर भी आवाज़ ठीक नहीं होती।,व्यायाम करने पर भी आवाज़ ठीक नहीं होती है।,False
कट रागह लग रहा है और भने में समय लग रहा है।,कट गहरा लग रहा है और भरने में समय लग रहा है।,कट में समय लगता है।,False
आम करते समय भी कनधड़ सामान्य नहीं रहती।,आराम करते समय भी धड़कन सामान्य नहीं रहती।,खाना करते समय भी नकसीर सामान्य नहीं रहती है।,False
नक के बाहरी स्सेहि में भी जल फैल रही है।,नाक के बाहरी हिस्से में भी जलन फैल रही है।,पैरों के आसपास भी जलन फूल रही है।,False
फड़ा धीर-धीर बड़ा होता जा रहा है।,फोड़ा धीरे-धीरे बड़ा होता जा रहा है।,फड़ा धीर-धीर बढ़ जाता है।,False
कनेछीं पर फोड़ और ज्यादा दर्द देता है।,छींकने पर फोड़ा और ज्यादा दर्द देता है।,कलाई में फोड़ और ज्यादा दर्द होता है।,False
नक के अंदर फोड़ हो गया है और नेछू पर बहुत र्दद होता है।,नाक के अंदर फोड़ा हो गया है और छूने पर बहुत दर्द होता है।,पैर के अंदर फोड़ हो गया है और नाखून पर बहुत र्दद होता है।,False
हल्का सा नेझुक पर भी खन टनेपक लगता है।,हल्का सा झुकने पर भी खून टपकने लगता है।,हल्का सांस में खनन लगता है।,False
ड़ेफो वाली जगह गर् और लाल हो गई है।,फोड़े वाली जगह गर्म और लाल हो गई है।,डॉक्टर ने कहा गर्मी और लाल हो गई है।,False
नक के अंदर वघा जैसा लग रहा है जिससे खन आता है।,नाक के अंदर घाव जैसा लग रहा है जिससे खून आता है।,बैठने के बाद वजन जैसी लगता है।,False
पान लगते ही कट में घ लनघा शुरू हो जाती है।,पानी लगते ही कट में जलन शुरू हो जाती है।,पान लगते ही कट में घाव शुरू हो जाती है।,False
फोड़ा भर रहा है और हल्का-सा दबाने पर मवाद निकलता है।,फोड़ा भर रहा है और हल्का-सा दबाने पर मवाद निकलता है।,फोड़ा भर रही है और हल्का-सा दबाने पर मवाद निकलता है।,False
कना पूरी तरह बंद है और सस लेने में क्कतदि हो रही है।,नाक पूरी तरह बंद है और सांस लेने में दिक्कत हो रही है।,कना पूरी तरह बंद है और सस लेने में दिक्कत हो रही है।,False
कती की जह से नाक थोड़ी संनशीवेदल हो गई है।,कट की वजह से नाक थोड़ी संवेदनशील हो गई है।,कती की जह से नाक थोड़ा संक्रमण हो गई है।,False
खाना खाते हुए गसा में दर्द होती है और थोड़ी देर बाद कना से खनता आता है,खाना खाते हुए गले में दर्द होती है और थोड़ी देर बाद नाक से खून आता है,खाना खाते ही गैस में दर्द होती है और थोड़ी देर बाद कना से दर्द होता है।,False
